PId,MobilityAid,ImageSet,ImageID,ImageType,Selection
117,Walker,4,39006,SurfaceProblem,Yes
117,Walker,5,3172,SurfaceProblem,Yes
117,Walker,5,24214,SurfaceProblem,Yes
117,Walker,5,631,SurfaceProblem,Yes
117,Walker,5,456,SurfaceProblem,Yes
117,Walker,5,2697,SurfaceProblem,Yes
117,Walker,5,273517,SurfaceProblem,Yes
117,Walker,6,1777,SurfaceProblem,No
117,Walker,6,5518,SurfaceProblem,Yes
117,Walker,6,7061,SurfaceProblem,Yes
117,Walker,6,669,SurfaceProblem,Yes
117,Walker,7,16482,CurbRamp,Yes
117,Walker,7,46135,CurbRamp,Yes
117,Walker,7,258182,CurbRamp,Yes
117,Walker,7,3047,CurbRamp,Yes
117,Walker,7,2377,CurbRamp,Yes
117,Walker,7,44798,CurbRamp,Yes
117,Walker,8,175408,NoCurbRamp,Yes
117,Walker,8,156512,NoCurbRamp,No
117,Walker,8,168483,NoCurbRamp,Yes
117,Walker,8,176648,NoCurbRamp,No
117,Walker,8,145241,NoCurbRamp,Yes
117,Walker,8,141806,NoCurbRamp,Yes
118,Walking cane,0,46864,Obstacle,Yes
118,Walking cane,0,264820,Obstacle,Yes
118,Walking cane,0,997,Obstacle,No
118,Walking cane,0,191782,Obstacle,Yes
118,Walking cane,0,12344,Obstacle,Yes
118,Walking cane,0,15148,Obstacle,Yes
118,Walking cane,1,229205,Obstacle,Yes
118,Walking cane,1,7558,Obstacle,Yes
118,Walking cane,1,3850,Obstacle,Yes
118,Walking cane,1,191179,Obstacle,Yes
118,Walking cane,1,4765,Obstacle,No
118,Walking cane,1,12830,Obstacle,No
118,Walking cane,2,208754,Obstacle,No
118,Walking cane,2,139731,Obstacle,Yes
118,Walking cane,2,3430,Obstacle,Yes
118,Walking cane,2,36038,Obstacle,Yes
118,Walking cane,2,100492,Obstacle,Yes
118,Walking cane,2,197213,Obstacle,Yes
118,Walking cane,3,562,SurfaceProblem,No
118,Walking cane,3,5941,SurfaceProblem,No
118,Walking cane,3,11350,SurfaceProblem,Yes
118,Walking cane,3,2022,SurfaceProblem,No
118,Walking cane,3,11707,SurfaceProblem,Yes
118,Walking cane,3,209069,SurfaceProblem,Yes
118,Walking cane,4,2080,SurfaceProblem,Yes
118,Walking cane,4,262,SurfaceProblem,Yes
118,Walking cane,4,3128,SurfaceProblem,Yes
118,Walking cane,4,26619,SurfaceProblem,No
118,Walking cane,4,39245,SurfaceProblem,Yes
118,Walking cane,4,39006,SurfaceProblem,Yes
118,Walking cane,5,3172,SurfaceProblem,Yes
118,Walking cane,5,24214,SurfaceProblem,Yes
118,Walking cane,5,631,SurfaceProblem,Yes
118,Walking cane,5,456,SurfaceProblem,Yes
118,Walking cane,5,2697,SurfaceProblem,Yes
118,Walking cane,5,273517,SurfaceProblem,No
118,Walking cane,6,1777,SurfaceProblem,Yes
118,Walking cane,6,7061,SurfaceProblem,No
118,Walking cane,6,669,SurfaceProblem,Yes
118,Walking cane,6,5518,SurfaceProblem,Yes
118,Walking cane,7,16482,CurbRamp,Yes
118,Walking cane,7,46135,CurbRamp,Yes
118,Walking cane,7,258182,CurbRamp,Yes
118,Walking cane,7,3047,CurbRamp,Yes
